#Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref	irr_name	 kirreversible
PBCKBCO	4	2	238.32	BCKBCO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.47E-08	1.14E+02	0.	0.	--	0.
PC1312CO	4	2	240.30	C1312CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.57E-08	1.16E+02	0.	0.	--	0.
PC116CO2H	4	2	226.27	C116CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.15E-07	1.10E+02	0.	0.	--	0.
PC116CO3H	4	2	242.27	C116CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.88E-07	1.06E+02	0.	0.	--	0.
PC116PAN	4	2	287.27	C116PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.41E-07	1.02E+02	0.	0.	--	0.
PC116OOH	4	2	214.26	C116OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.22E-06	1.03E+02	0.	0.	--	0.
PC116NO3	4	2	243.26	C116NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.02E-05	9.40E+01	0.	0.	--	0.
PC116CO	4	2	196.24	C116CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.70E-04	8.19E+01	0.	0.	--	0.
PC116OH	4	2	198.26	C116OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.10E-05	9.51E+01	0.	0.	--	0.
PC129OOH	4	2	242.27	C129OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.55E-08	1.16E+02	0.	0.	--	0.
PC129CO	4	2	224.25	C129CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.55E-06	9.66E+01	0.	0.	--	0.
PC129OH	4	2	226.27	C129OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.57E-07	1.09E+02	0.	0.	--	0.
PC143CO	4	2	254.32	C143CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.54E-09	1.21E+02	0.	0.	--	0.
PC1210OOH	4	2	228.28	C1210OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.65E-07	1.08E+02	0.	0.	--	0.
PC1210NO3	4	2	257.28	C1210NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.27E-06	9.93E+01	0.	0.	--	0.
PC1210OH	4	2	212.29	C1210OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.53E-06	1.00E+02	0.	0.	--	0.
PC1011CO2H	4	2	198.26	C1011CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.77E-06	9.50E+01	0.	0.	--	0.
PC1011CO3H	4	2	214.26	C1011CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.29E-05	9.14E+01	0.	0.	--	0.
PC1011PAN	4	2	259.26	C1011PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.38E-05	8.73E+01	0.	0.	--	0.
PHCOCH2CO3H	4	2	104.06	HCOCH2CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.61E-01	5.73E+01	0.	0.	--	0.
PC3PAN2	4	2	149.06	C3PAN2	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.19E+00	5.35E+01	0.	0.	--	0.
PC1210CO2H	4	2	240.30	C1210CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.40E-08	1.15E+02	0.	0.	--	0.
PC1210CO3H	4	2	256.29	C1210CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.13E-08	1.12E+02	0.	0.	--	0.
PC1210PAN	4	2	301.29	C1210PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.78E-07	1.07E+02	0.	0.	--	0.
